Subject Name,Scientific Name,Num. of Counties,Habit
padang cassia,Cinnamomum burmannii (Nees & Th. Nees) Nees ex Blume,7,Hardwood Trees
camphortree,Cinnamomum camphora (L.) J. Presl,150,Hardwood Trees
Canada thistle,Cirsium arvense (L.) Scop.,1695,Forbs/Herbs
marsh thistle,Cirsium palustre (L.) Scop.,71,Forbs/Herbs
bull thistle,Cirsium vulgare (Savi) Ten.,1905,Forbs/Herbs
Cretan rockrose,Cistus incanus ssp. creticus (L.) Heywood,12,Shrub or Subshrub
juniper berry,Citharexylum caudatum L.,4,Hardwood Trees
spiny fiddlewood,Citharexylum spinosum L.,9,Hardwood Trees
colocynth,Citrullus colocynthis (L.) Schrad.,5,Vines
trifoliate orange,Citrus trifoliata (L.) Raf.,366,Hardwood Trees
lime,Citrus x aurantiifolia (Christm.) Swingle,5,Hardwood Trees
sour orange,Citrus x aurantium L. (pro sp.) [maxima × reticulata],50,Hardwood Trees
lemon,Citrus x limon (L.) Osbeck,9,Hardwood Trees
orange,Citrus x sinensis (L.) Osbeck (pro sp.) [maxima × reticulata],11,Hardwood Trees
oriental virginsbower,Clematis orientalis L.,38,Vines
sweet autumn virginsbower,Clematis terniflora DC,532,Vines
evergreen clematis,Clematis vitalba L.,48,Vines
rose glorybower,Clerodendrum bungei Steud.,38,Hardwood Trees
stickbush,Clerodendrum chinense (Osb.) Mabberley,15,Hardwood Trees
turk's turbin,Clerodendrum indicum (L.) Kuntze,75,Shrub or Subshrub
Japanese glorybower,Clerodendrum japonicum (Thunb.) Sweet,0,Shrub or Subshrub
Javanese glorybower,Clerodendrum speciosissimum Van Geert ex Morr.,12,Hardwood Trees
soapbush,Clidemia hirta (L.) D. Don,4,Shrub or Subshrub
wild basil,Clinopodium vulgare L.,8,Forbs/Herbs
ivy gourd,Coccinia grandis (L.) Voigt,8,Vines
coconut palm,Cocos nucifera Linnaeus,14,Palms
Arabian coffee,Coffea arabica L.,5,Hardwood Trees
star-mustard,Coincya monensis (L.) Greuter & Burdet,49,Forbs/Herbs
Job's tears,Coix lacryma-jobi L.,24,Grass or Grasslike
common coleus,Coleus scutellarioides (L.) Benth.,11,Forbs/Herbs
"coco yam, wild taro",Colocasia esculenta (L.) Schott,211,Forbs/Herbs
Asian nakedwood,Colubrina asiatica (L.) Brongn.,13,Hardwood Trees
